,0
CD82,-1.2041324885386047
GAS1,-0.04687122028040322
NOL6,0.00860126627218838
KRTAP4-11,0.0
PCYT1B,-0.04100681456112567
UBAC1,-0.37502511963920115
PPP4R1,0.27532075051468485
BFAR,0.22108458463271674
RGCC,-0.7211129945261731
OR1Q1,0.0
CREBRF,3.047333046726416
KBTBD13,0.0
FCN1,0.2832253343122906
PLXNA2,-0.20822260091223965
RBM42,-0.5021858928292602
ENO2,0.2382879239750162
TMEM222,0.1236173265967655
KRT15,-0.17774683865699914
RNMT,2.4683788837413956
NIPAL1,0.1204008810979465
DCN,-0.07369595716111897
ZNF420,0.41720526356111765
ZNF93,-0.0722493441610503
GOLPH3,-0.27116138626178543
ACOT11,-0.14850907454197107
TBC1D1,-0.0560719541521153
LRRC3,-0.507143331447016
NOB1,-0.7400477406250339
STARD3,-0.7685187374533471
ZNF786,-0.403264500499382
NCK2,-0.38189214090278467
SEZ6L2,-0.7981982288984573
DIP2C,1.420089319060052
ABCA12,-1.2647417673157868
KRTAP5-1,1.3719382680769812
GPR174,0.0
OR2AG2,0.0
FGD3,-0.023404211794123074
PARP9,2.4083237968805955
NRXN2,-0.04067836587520577
GFM2,-0.19935354021631557
HIGD2A,-0.8403431968418422
PLCXD2,-0.3887356419755823
NUP35,0.5665462130817547
PDS5B,0.37953844049354224
RCOR2,0.15654348125880568
RORA,0.46493969734829904
PCDHB4,-0.06561983560270676
CYSLTR2,0.0
NANOS1,-0.9251015905983313
DDAH1,-0.8545135452147878
DDX11,0.5711910339406314
GOLM1,-1.4192346772011373
PTDSS2,-0.38004379541288724
CAMSAP3,0.21930904937957985
SIRPD,0.0
SLC52A3,-0.13427847193260656
KLHL12,0.06216428765298643
FNDC1,-0.06310361682613487
OSBP,0.5744397116933069
PRDM13,-0.07741195875533044
FBXL19,-1.0183960391209803
CACNA2D1,-0.998256890188689
LINGO4,0.0
SH3KBP1,0.2357990286194065
SFXN5,-0.756891821027327
LMAN1,-0.5315515101936716
EFCAB1,0.010442843854397883
PRPF38A,1.0956284811940051
EI24,-0.23402458796543968
DPYS,0.021491147483202577
ENTPD4,-0.2561155836955815
CCS,-1.0325429637026073
RCC1,-0.8494690030711927
CDHR2,0.06987472170916545
CYP4B1,0.0
PXDNL,0.04890647926647549
TBR1,0.00767729092058858
KLHDC4,-0.3145963611157332
AAMDC,-0.6673917678570864
BFSP2,0.0
HOXD10,0.5894540677892364
PLK3,1.2911093761078787
DDX49,-0.46694136839939526
VCPIP1,0.7332042858000971
ULK4,-0.19277636245776786
ZNF768,0.2281727153800155
KIAA1522,-0.03575976920990076
HABP4,-0.3712997562402589
UMOD,0.0
TRPM2,-0.13802085809822318
RAB4A,-0.8614690466024197
ASAH2B,0.02476772629104637
SEC61B,0.08952282640834142
UTP14C,-0.5427883143771137
SIRT2,-0.15500456859628464
TMEM150B,0.0
SNX4,-0.6559416768570965
OPRK1,0.009395402397477796
GRIK2,-0.29139632782146135
SLC29A2,-0.49007496568077924
POLR2J3,-0.09336274940916844
METTL16,0.9848595281853401
ASIP,-0.1857846288294368
SMYD5,-0.45271550794541593
P4HA1,0.5794173826514699
COL6A1,-0.870594213023715
CD163L1,0.04959868463056746
ZNF444,0.1676856503839863
TOR1B,-0.05551125586962069
RPL15,-0.3930480353233827
DGKZ,-0.6503313133950601
MST1,0.4348640840660883
PARD6B,0.9443212176551139
WIPI1,-0.5123099320905098
HM13,-1.1043396850152334
KCNS2,-0.001422350346282128
CYYR1,-0.0026730231744976104
INHBA,1.8524693760287652
LIPE,-0.21641053605246646
CCDC24,-0.22497957278957692
DZIP1,0.1802623486189603
